N,nominal_load,actual_load,P,generator,corr,condition,cue_noise,cost_int_mean,cost_int_sem,n_trials,cost_cum_mean,cost_cum_sem,initial_overlap_mean,initial_overlap_sem,final_overlap_mean,final_overlap_sem,retrieval_error_mean,retrieval_error_sem,success_mean,success_sem,iterations_mean,iterations_sem,pearson_cost_error,spearman_cost_error,pearson_cost_failure,spearman_cost_failure
128,0.05,0.046875,6,latent,0.25,uncorrelated,0.2,1.0001129828402429,6.150945498897499e-06,600,1.0005645608480112,3.071535231414824e-05,0.5929427083333333,0.0028564575507218945,0.9990104166666667,0.0008273202076944793,0.0009895833333333334,0.0008273202076944794,0.9966666666666667,0.0023550543175125337,2.07,0.010945811791307623,-0.003182559590914245,0.050375181697103026,0.01923963716242464,0.05041949416795522
128,0.05,0.046875,6,latent,0.35,correlated,0.05,1.000902972209731,3.473758661195305e-05,600,1.0044996521034733,0.00017268324152251588,0.8989583333333333,0.0016128447902902232,0.9766927083333333,0.003109523438537401,0.023307291666666667,0.003109523438537401,0.9233333333333333,0.010870991010823738,2.295,0.05213272838580624,0.5121670163163337,0.5173138589916609,0.4724528953626908,0.380747548596068
128,0.05,0.046875,6,latent,0.35,correlated,0.1,1.0009192016200947,3.50195293788503e-05,600,1.0045803900933732,0.00017408798535876357,0.80078125,0.00216161258634907,0.97140625,0.0035466008655911916,0.02859375,0.003546600865591191,0.905,0.011980437588335969,2.316666666666667,0.03953800160309182,0.4055083941469443,0.4814357083504098,0.4227081376378721,0.360403620775217
128,0.05,0.046875,6,latent,0.35,correlated,0.15,1.0008827118554875,3.425327608497515e-05,600,1.0043989073685051,0.00017025625025802346,0.6976302083333333,0.0026181453480613502,0.9548177083333333,0.004476683719407246,0.045182291666666666,0.004476683719407246,0.8483333333333334,0.014655982094924904,2.525,0.05994861925409968,0.3720203059660619,0.4552866752135342,0.40715955897782075,0.38662574013240714
128,0.05,0.046875,6,latent,0.35,correlated,0.2,1.0008920693007182,3.4600880896754304e-05,600,1.004445386131315,0.0001720149741816063,0.5962760416666667,0.0029907468723392875,0.948984375,0.00464739388583917,0.051015625,0.00464739388583917,0.825,0.015525034981774079,2.64,0.07034061338972168,0.3875480068125949,0.3831237342083181,0.38332858879551596,0.3211955328887711
128,0.05,0.046875,6,latent,0.35,uncorrelated,0.05,1.0001288576382585,1.266752336171634e-05,600,1.0006431743123783,6.300359322380522e-05,0.898984375,0.0015614703845411796,1.0,0.0,0.0,0.0,1.0,0.0,1.9966666666666666,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.35,uncorrelated,0.1,1.0001220348768143,1.0633127555704563e-05,600,1.0006093568796428,5.290840817938213e-05,0.8002083333333333,0.0020763700059132357,1.0,0.0,0.0,0.0,1.0,0.0,2.0033333333333334,0.0023550543175125337,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.35,uncorrelated,0.15,1.0001277072981312,1.0915015529375388e-05,600,1.0006376684435858,5.43259787642257e-05,0.7013802083333334,0.002594521431049291,1.0,0.0,0.0,0.0,1.0,0.0,2.013333333333333,0.0052466523055666,nan,nan,nan,nan
128,0.05,0.046875,6,latent,0.35,uncorrelated,0.2,1.0001303639369301,1.0979987707203574e-05,600,1.0006509364126244,5.4648324889450896e-05,0.599296875,0.0028855586325792063,0.9994270833333333,0.00041143307289520414,0.0005729166666666667,0.0004114330728952041,0.9966666666666667,0.002355054317512534,2.078333333333333,0.01122917702328595,0.04422250576777579,0.08364254029938734,0.044949918350166894,0.08364265685803006
128,0.05,0.046875,6,latent,0.45,correlated,0.05,1.0029687370921032,9.001626723300181e-05,600,1.0147108316732012,0.0004431528340850533,0.8992447916666667,0.0015494898527698832,0.7601041666666667,0.008250416780855854,0.23989583333333334,0.008250416780855854,0.37833333333333335,0.019815392670383954,3.765,0.06844860454056285,0.43402347902543426,0.4898759912983465,0.6366475065829686,0.7200142520057322
