N,nominal_load,actual_load,P,generator,corr,condition,rep,mean_pair_overlap_abs,mean_q2,mean_cost_int,mean_cost_cum
128,0.05,0.046875,6,latent,0.25,correlated,39,0.08020833333333334,9.85099626449253e-05,1.0000985037036172,1.0004923934271293
128,0.05,0.046875,6,latent,0.25,uncorrelated,39,0.07916666666666666,6.461575423150846e-05,1.0000646129453017,1.000323008577078
128,0.05,0.046875,6,latent,0.25,correlated,40,0.058333333333333334,3.729694959389919e-05,1.0000372962006174,1.0001864660267674
128,0.05,0.046875,6,latent,0.25,uncorrelated,40,0.071875,0.000175186678498357,1.0001751580803029,1.0008752195312274
128,0.05,0.046875,6,latent,0.25,correlated,41,0.06666666666666667,6.790951081902162e-05,1.0000679066522307,1.000339476118656
128,0.05,0.046875,6,latent,0.25,uncorrelated,41,0.07708333333333334,7.585327670655343e-05,1.0000758490495893,1.0003791607640375
128,0.05,0.046875,6,latent,0.25,correlated,42,0.06770833333333333,0.00010504903822307645,1.000105037733339,1.0005249628518647
128,0.05,0.046875,6,latent,0.25,uncorrelated,42,0.07708333333333334,0.00010724083948167895,1.0001072311166503,1.000535961338064
128,0.05,0.046875,6,latent,0.25,correlated,43,0.07604166666666666,4.18864118978238e-05,1.000041885273817,1.0002094036146099
128,0.05,0.046875,6,latent,0.25,uncorrelated,43,0.078125,0.00036990581793663586,1.000369720115924,1.0018449059789225
128,0.05,0.046875,6,latent,0.25,correlated,44,0.10416666666666667,0.00026863491226982464,1.0002685758006853,1.0013417000852287
128,0.05,0.046875,6,latent,0.25,uncorrelated,44,0.06458333333333334,2.683442866885734e-05,1.0000268340411815,1.0001341624573366
128,0.05,0.046875,6,latent,0.25,correlated,45,0.09270833333333334,0.00023486179784859568,1.0002348159659127,1.0011731652642555
128,0.05,0.046875,6,latent,0.25,uncorrelated,45,0.0625,6.209699919399838e-05,1.000062094309816,1.0003104177896265
128,0.05,0.046875,6,latent,0.25,correlated,46,0.14479166666666668,0.0013423390128030255,1.001341361875326,1.0066874193617217
128,0.05,0.046875,6,latent,0.25,uncorrelated,46,0.078125,8.664275141050282e-05,1.000086636459145,1.0004330565623534
128,0.05,0.046875,6,latent,0.25,correlated,47,0.071875,8.688493939487877e-05,1.000086878616566,1.000434266737977
128,0.05,0.046875,6,latent,0.25,uncorrelated,47,0.078125,0.00011279905372310744,1.0001127905428637,1.0005637826450946
128,0.05,0.046875,6,latent,0.25,correlated,48,0.084375,0.00010277247116994235,1.0001027665356015,1.0005137140405798
128,0.05,0.046875,6,latent,0.25,uncorrelated,48,0.06979166666666667,0.00013604910022320046,1.000136035026031,1.0006798940000812
128,0.05,0.046875,6,latent,0.25,correlated,49,0.06875,0.00024092860685721377,1.0002408576743929,1.0012028742871435
128,0.05,0.046875,6,latent,0.25,uncorrelated,49,0.06458333333333334,8.050328600657201e-05,1.0000804973452397,1.0004023680160479
128,0.05,0.046875,6,latent,0.35,correlated,0,0.12083333333333333,0.0008892174034348068,1.0008885048626504,1.0044283969736447
128,0.05,0.046875,6,latent,0.35,uncorrelated,0,0.06458333333333334,4.969697439394878e-05,1.0000496956616254,1.0002484520599881
128,0.05,0.046875,6,latent,0.35,correlated,1,0.15104166666666666,0.0011747933652117301,1.0011739033442675,1.00585187559358
