N,nominal_load,actual_load,P,generator,corr,cue_noise,deltaF_int,deltaF_cum,retrieval_degradation,failure_probability_increase,corr_final_overlap_mean,uncorr_final_overlap_mean,corr_success_mean,uncorr_success_mean,corr_spearman_cost_error,uncorr_spearman_cost_error
128,0.1,0.1015625,13,latent,0.25,0.15,0.0001411989426030047,0.0016868356721955191,0.22466145833333329,0.3966666666666666,0.7686458333333334,0.9933072916666666,0.5866666666666667,0.9833333333333333,0.5004381905798866,0.3153395813148034
128,0.1,0.1015625,13,latent,0.25,0.2,0.0001411989426030047,0.0016868356721955191,0.24796875000000007,0.43499999999999994,0.731015625,0.978984375,0.515,0.95,0.46573805262363827,0.22476100487025055
128,0.1,0.1015625,13,latent,0.35,0.05,0.0006891685660657121,0.008200270377715313,0.5643229166666667,0.9316666666666666,0.429296875,0.9936197916666667,0.04833333333333333,0.98,-0.41412514187236554,0.3131140250557914
128,0.1,0.1015625,13,latent,0.35,0.1,0.0006891685660657121,0.008200270377715313,0.570390625,0.9199999999999999,0.422734375,0.993125,0.055,0.975,-0.3682569711403291,0.2623413134152642
128,0.1,0.1015625,13,latent,0.35,0.15,0.0006891685660657121,0.008200270377715313,0.5815625,0.94,0.411484375,0.993046875,0.04,0.98,-0.47896167488795366,0.3180019291171363
128,0.1,0.1015625,13,latent,0.35,0.2,0.0006891685660657121,0.008200270377715313,0.5738020833333333,0.9283333333333332,0.410234375,0.9840364583333333,0.021666666666666667,0.95,-0.49714342914386234,0.32545181178392324
128,0.1,0.1015625,13,latent,0.45,0.05,0.0029125832695249265,0.03412551444790246,0.5319791666666667,0.995,0.4647395833333333,0.99671875,0.0,0.995,-0.7662295876059708,0.29291803021317153
128,0.1,0.1015625,13,latent,0.45,0.1,0.0029125832695249265,0.03412551444790246,0.5339322916666667,0.9833333333333333,0.45921875,0.9931510416666667,0.0,0.9833333333333333,-0.8181437136250338,0.32006457537362293
128,0.1,0.1015625,13,latent,0.45,0.15,0.0029125832695249265,0.03412551444790246,0.5289322916666666,0.9766666666666667,0.46098958333333334,0.989921875,0.0,0.9766666666666667,-0.7740071743289579,0.3081581611016149
128,0.1,0.1015625,13,latent,0.45,0.2,0.0029125832695249265,0.03412551444790246,0.5214322916666667,0.9583333333333333,0.4616927083333333,0.983125,0.0016666666666666668,0.96,-0.7402082621118071,0.35659954617191825
128,0.1,0.1015625,13,mixture,0.15,0.05,2.825726572952547e-06,3.380522962115329e-05,-0.001822916666666674,-0.011666666666666714,0.996171875,0.9943489583333334,0.9916666666666667,0.98,0.32315791562379353,0.29731617667793303
128,0.1,0.1015625,13,mixture,0.15,0.1,2.825726572952547e-06,3.380522962115329e-05,0.004427083333333304,0.01666666666666672,0.9913541666666666,0.99578125,0.975,0.9916666666666667,0.372636023718815,0.299780179538554
128,0.1,0.1015625,13,mixture,0.15,0.15,2.825726572952547e-06,3.380522962115329e-05,0.005911458333333286,0.018333333333333313,0.9855989583333333,0.9915104166666666,0.9566666666666667,0.975,0.31765298837676154,0.36187804206976143
128,0.1,0.1015625,13,mixture,0.15,0.2,2.825726572952547e-06,3.380522962115329e-05,-0.0003906249999999778,-0.0050000000000000044,0.9766927083333333,0.9763020833333333,0.9333333333333333,0.9283333333333333,0.2595712747308971,0.2800037829519669
128,0.1,0.1015625,13,mixture,0.25,0.05,4.185912594834029e-05,0.0005001981776080466,0.009609375000000031,0.020000000000000018,0.98671875,0.996328125,0.9716666666666667,0.9916666666666667,0.3897579953574325,0.2673912599722434
