N,nominal_load,actual_load,P,generator,corr,condition,mean_pair_overlap_abs_mean,mean_pair_overlap_abs_sem,n_realizations,mean_q2_mean,mean_q2_sem,mean_cost_int_mean,mean_cost_int_sem,mean_cost_cum_mean,mean_cost_cum_sem
128,0.1,0.1015625,13,latent,0.35,uncorrelated,0.06954326923076923,0.0007429099854612314,50,0.00011948986938839264,5.933429067497856e-06,1.0001194750708349,5.931595077370192e-06,1.0014317574167262,7.093905397964335e-05
128,0.1,0.1015625,13,latent,0.45,correlated,0.20479967948717948,0.0028901674594684315,50,0.003036692485644587,0.0001514788982308172,1.0030299956481583,0.00015076199917010398,1.035532811569196,0.0017237234999785513
128,0.1,0.1015625,13,latent,0.45,uncorrelated,0.07019230769230769,0.0008824502688739942,50,0.0001174249373739132,5.5010933880059266e-06,1.0001174123786334,5.499862501610373e-06,1.0014072971212935,6.583682493732076e-05
128,0.1,0.1015625,13,mixture,0.15,correlated,0.07083333333333333,0.0008079588385998763,50,0.00012587170907514894,7.329584390811723e-06,1.000125854346112,7.326861020455818e-06,1.0015079744592206,8.756662365699394e-05
128,0.1,0.1015625,13,mixture,0.15,uncorrelated,0.06977564102564102,0.0008216568393756387,50,0.00012304518899903185,7.245075559734306e-06,1.000123028619539,7.242709300384378e-06,1.0014741692295994,8.660307306699322e-05
128,0.1,0.1015625,13,mixture,0.25,correlated,0.07649038461538461,0.0010555270758828257,50,0.00015826267529938908,1.2127073802139683e-05,1.000158232888276,1.2121332742095405e-05,1.0018948987737968,0.00014470900280969592
128,0.1,0.1015625,13,mixture,0.25,uncorrelated,0.07016025641025642,0.0007983856600321281,50,0.00011638734815931169,6.737907728318796e-06,1.0001163737623278,6.735923463955422e-06,1.0013947005961887,8.05711956723685e-05
128,0.1,0.1015625,13,mixture,0.35,correlated,0.0885897435897436,0.0011218322487605902,50,0.00030285458407455275,1.8694019035236635e-05,1.0003027545432281,1.8680310387967235e-05,1.0036200303450913,0.00022239330862758365
128,0.1,0.1015625,13,mixture,0.35,uncorrelated,0.07036858974358974,0.0008918116354534689,50,0.00012855869161257553,7.85214547468095e-06,1.0001285390851837,7.84886369644466e-06,1.0015398992301883,9.375810158316967e-05
128,0.1,0.1015625,13,mixture,0.45,correlated,0.11604166666666668,0.002265985117436272,50,0.0011322830398064643,7.394845375917351e-05,1.0011310321023323,7.378688476692989e-05,1.0134132742243778,0.0008651930549760219
128,0.1,0.1015625,13,mixture,0.45,uncorrelated,0.07015224358974359,0.0006047651304734227,50,0.00011379137241447561,4.302755161315865e-06,1.0001137803042217,4.301725611170218e-06,1.0013639077560608,5.148562589533115e-05
128,0.15,0.1484375,19,block,0.15,correlated,0.07278508771929824,0.0006022964165381349,50,0.0001357714338235694,5.039282812642433e-06,1.000135755554209,5.037735165148265e-06,1.0024387745894088,9.021160908635642e-05
128,0.15,0.1484375,19,block,0.15,uncorrelated,0.06927997076023393,0.0005404892008097313,50,0.00011776246277273257,4.727113463418107e-06,1.000117750598006,4.725876689318065e-06,1.0021159010838812,8.469121583829065e-05
128,0.15,0.1484375,19,block,0.25,correlated,0.08834429824561402,0.0009034370806276261,50,0.0002723850869850862,1.206539769858435e-05,1.0002723168172576,1.205895258756408e-05,1.0048810891131525,0.0002151281359925557
128,0.15,0.1484375,19,block,0.25,uncorrelated,0.07037646198830409,0.0005648336382237717,50,0.00011894905642881463,4.715885716397059e-06,1.0001189373773611,4.714771027272153e-06,1.0021373189013003,8.452799192755272e-05
128,0.15,0.1484375,19,block,0.35,correlated,0.12813230994152047,0.0019016317249493711,50,0.0007636479897411549,3.39782370617766e-05,1.0007631994974289,3.393896982942967e-05,1.013604085501477,0.0005993694813581717
128,0.15,0.1484375,19,block,0.35,uncorrelated,0.07072002923976607,0.0004773641281489272,50,0.00012469651721101687,4.5637565246605905e-06,1.000124683349241,4.562696132841036e-06,1.0022402936810346,8.18068830408583e-05
128,0.15,0.1484375,19,block,0.45,correlated,0.2029751461988304,0.002690491195537542,50,0.003076428137505398,0.00013780543367003777,1.0030694429757852,0.00013717955524791416,1.053316309327474,0.002303767694690665
128,0.15,0.1484375,19,block,0.45,uncorrelated,0.06977704678362574,0.0006154083840151982,50,0.00011456974531273622,3.815487454013901e-06,1.0001145580942898,3.8142265785396514e-06,1.0020585036957557,6.827589742382742e-05
128,0.15,0.1484375,19,latent,0.15,correlated,0.0725328947368421,0.0006453061650512204,50,0.00013879512956394333,6.279969473112233e-06,1.0001387763546585,6.27795754829104e-06,1.0024922798350084,0.00011239640698028607
