N,nominal_load,actual_load,P,generator,corr,condition,rep,cue_noise,cue_id,target_index,cost_int,cost_cum,initial_overlap,final_overlap,retrieval_error,success,iterations
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,5,2,1.000236165944586,1.0011802726370644,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,6,2,1.000236165944586,1.0011802726370644,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,7,0,1.000097851267652,1.0004891606363715,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,8,2,1.000236165944586,1.0011802726370644,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,9,5,1.0006649361196678,1.003320273839263,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,10,4,1.0002859952223138,1.0014291593465174,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.05,11,1,1.0001763094195193,1.0008812365212214,0.9375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,0,1,1.0001763094195193,1.0008812365212214,0.90625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,1,3,1.00036516491713,1.0018244935608143,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,2,5,1.0006649361196678,1.003320273839263,0.953125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,3,2,1.000236165944586,1.0011802726370644,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,4,5,1.0006649361196678,1.003320273839263,0.828125,0.953125,0.046875,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,5,3,1.00036516491713,1.0018244935608143,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,6,1,1.0001763094195193,1.0008812365212214,0.875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,7,3,1.00036516491713,1.0018244935608143,0.828125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,8,5,1.0006649361196678,1.003320273839263,0.796875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,9,1,1.0001763094195193,1.0008812365212214,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,10,4,1.0002859952223138,1.0014291593465174,0.796875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.1,11,5,1.0006649361196678,1.003320273839263,0.796875,1.0,0.0,1,3
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,0,0,1.000097851267652,1.0004891606363715,0.8125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,1,4,1.0002859952223138,1.0014291593465174,0.734375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,2,3,1.00036516491713,1.0018244935608143,0.734375,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,3,4,1.0002859952223138,1.0014291593465174,0.671875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,4,5,1.0006649361196678,1.003320273839263,0.703125,1.0,0.0,1,4
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,5,3,1.00036516491713,1.0018244935608143,0.75,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,6,5,1.0006649361196678,1.003320273839263,0.640625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,7,1,1.0001763094195193,1.0008812365212214,0.8125,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,8,4,1.0002859952223138,1.0014291593465174,0.65625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,9,5,1.0006649361196678,1.003320273839263,0.625,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,10,2,1.000236165944586,1.0011802726370644,0.6875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.15,11,1,1.0001763094195193,1.0008812365212214,0.71875,1.0,0.0,1,2
128,0.05,0.046875,6,latent,0.15,correlated,1,0.2,0,4,1.0002859952223138,1.0014291593465174,0.609375,1.0,0.0,1,2
